Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,WD121KRYZ,WD,Gold 12TB (2017),1,116,198,https://hdd.userbenchmark.com/SpeedTest/391336/WDC-WD121KRYZ-01
HDD,WD101KRYZ,WD,Gold 10TB (2016),2,115,402,https://hdd.userbenchmark.com/SpeedTest/171115/WDC-WD101KRYZ-01JPDB0
HDD,WD60EFAX,WD,Red 6TB (2019),3,111,2,https://hdd.userbenchmark.com/SpeedTest/748440/WDC-WD60EFAX-68SHWN0
HDD,WD8003FRYZ,WD,Gold 8TB (256MB Cache 2017),4,109,206,https://hdd.userbenchmark.com/SpeedTest/388081/WDC-WD8003FRYZ-01JPDB1
HDD,WD6002FZWX,WD,Black 6TB (2016),5,103,2529,https://hdd.userbenchmark.com/WD-Black-6TB-2016/Rating/3927
HDD,WD6002FRYZ,WD,Gold 6TB (2016) ,6,103,589,https://hdd.userbenchmark.com/SpeedTest/167511/WDC-WD6002FRYZ-01WD5
HDD,WD6002FFWX,WD,Red Pro 6TB (2015),7,103,349,https://hdd.userbenchmark.com/SpeedTest/139230/WDC-WD6002FFWX-68TZ4N0
HDD,WD6001FZWX,WD,Black 6TB (2015),8,98.4,2434,https://hdd.userbenchmark.com/WD-Black-6TB-2015/Rating/3519
HDD,ST3000DM008,Seagate,Barracuda 3TB (2016),9,97.9,37311,https://hdd.userbenchmark.com/Seagate-Barracuda-3TB-2016/Rating/3898
HDD,WD8002FRYZ,WD,Gold 8TB (128MB Cache 2016),10,96.7,100,https://hdd.userbenchmark.com/SpeedTest/226349/WDC-WD8002FRYZ-01FF2B0
HDD,WD4004FZWX,WD,Black 4TB (2016),11,96.5,4422,https://hdd.userbenchmark.com/WD-Black-4TB-2016/Rating/3908
HDD,ST2000DM006,Seagate,Barracuda 2TB (2016),12,95.7,183511,https://hdd.userbenchmark.com/Seagate-Barracuda-2TB-2016/Rating/3897
HDD,WD100EFAX,WD,Red 10TB (2017),13,95.3,269,https://hdd.userbenchmark.com/SpeedTest/324807/WDC-WD100EFAX-68LHPN0
HDD,WD1000DHTZ,WD,VelociRaptor 1TB,14,94.3,3767,https://hdd.userbenchmark.com/WD-VelociRaptor-1TB/Rating/1389
HDD,ST1000DM010,Seagate,Barracuda 1TB (2016),15,94,200951,https://hdd.userbenchmark.com/Seagate-Barracuda-1TB-2016/Rating/3896
HDD,ST2000DM008,Seagate,Barracuda 2TB (2018),16,93.3,7439,https://hdd.userbenchmark.com/SpeedTest/466743/ST2000DM008-2FR102
HDD,WD5000BHTZ,WD,VelociRaptor 2.5" 500GB,17,93.3,160,https://hdd.userbenchmark.com/SpeedTest/11902/WDC-WD5000BHTZ-04JCPV1
HDD,ST3300657SS,Seagate,Cheetah 15K.7 SAS 300GB,18,93.1,532,https://hdd.userbenchmark.com/SpeedTest/9679/SEAGATE-ST3300657SS
HDD,WD4002FYYZ,WD,Gold 4TB (2016),19,93.1,1431,https://hdd.userbenchmark.com/SpeedTest/147091/WDC-WD4002FYYZ-01B7CB0
HDD,WD2005FBYZ,WD,Gold 2TB (2016),20,92.6,1287,https://hdd.userbenchmark.com/SpeedTest/206650/WDC-WD2005FBYZ-01YCBB1
HDD,0S03839,HGST,Deskstar NAS 6TB,21,92,450,https://hdd.userbenchmark.com/SpeedTest/22222/HGST-HDN726060ALE610
HDD,0F23267,HGST,Ultrastar He8 Helium 8TB,22,91.7,308,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,0F23668,HGST,Ultrastar He8 Helium 8TB,22,91.7,308,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,HUS156045VLS600,Hitachi,UltraStar 15K600 450GB,23,91.3,54,https://hdd.userbenchmark.com/SpeedTest/9674/HITACHI-HUS156045VLS600
HDD,WD5000HHTZ,WD,VelociRaptor 500GB,24,90.9,3687,https://hdd.userbenchmark.com/SpeedTest/1434/WDC-WD5000HHTZ-04N21V0
