Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,MKNUFDVU240GB,Mushkin,Ventura Ultra USB 3.0 240GB,1,151,27,https://usb.userbenchmark.com/SpeedTest/7528/Mushkin-Ventura-Ultra
USB,MKNUFDVU60GB,Mushkin,Ventura Ultra USB 3.0 60GB,2,143,38,https://usb.userbenchmark.com/Mushkin-Ventura-Ultra-USB-30-60GB/Rating/2281
USB,MKNUFDVU120GB,Mushkin,Ventura Ultra USB 3.0 120GB,3,140,48,https://usb.userbenchmark.com/SpeedTest/8396/Mushkin-Ventura-Ultra
USB,CMFVYGTX3-128GB,Corsair,Flash Voyager GTX USB 3.0 128GB,4,114,81,https://usb.userbenchmark.com/SpeedTest/13691/Corsair-Voyager-GTX
USB,CMFVYGTX3-256GB,Corsair,Flash Voyager GTX USB 3.0 256GB,5,108,55,https://usb.userbenchmark.com/SpeedTest/12583/Corsair-Voyager-GTX
USB,SDCZ88-128G,SanDisk,Extreme Pro USB 3.0 128GB,6,75.1,1065,https://usb.userbenchmark.com/SpeedTest/7603/SanDisk-ExtremePro
USB,SDCZ880-128G,SanDisk,Extreme Pro USB 3.1 128GB,7,71.3,185,https://usb.userbenchmark.com/SpeedTest/236544/SanDisk-Extreme-Pro
USB,SDCZ80-064G,SanDisk,Extreme USB 3.0 64GB,8,70.9,4296,https://usb.userbenchmark.com/SanDisk-Extreme-USB-30-64GB/Rating/1459
USB,HXS3/512GB,Kingston,HyperX Savage USB 3.1 512GB,9,65.7,42,https://usb.userbenchmark.com/SpeedTest/80249/Kingston-HyperX-Savage
USB,SDCZ880-256G,SanDisk,Extreme Pro USB 3.1 256GB,10,64.4,105,https://usb.userbenchmark.com/SpeedTest/248252/SanDisk-Extreme-Pro
USB,,Corsair,Voyager GS 126GB,11,63.2,40,https://usb.userbenchmark.com/SpeedTest/7514/Corsair-Voyager-GS
USB,,Apricorn,SATAWire 256GB,12,62.6,19,https://usb.userbenchmark.com/SpeedTest/10670/Apricorn-SATAWire
USB,SDCZ80-032G,SanDisk,Extreme USB 3.0 32GB,13,60.2,2980,https://usb.userbenchmark.com/SanDisk-Extreme-USB-30-32GB/Rating/1466
USB,SDCZ80-016G,SanDisk,Extreme USB 3.0 16GB,14,59.2,1854,https://usb.userbenchmark.com/SanDisk-Extreme-USB-30-16GB/Rating/1301
USB,LJDP10-32GCRBEU,Lexar,JumpDrive P10 USB 3.0 32GB,15,58.3,65,https://usb.userbenchmark.com/Lexar-JumpDrive-P10-USB-30-32GB/Rating/1476
USB,HXS3/128GB,Kingston,HyperX Savage USB 3.1 128GB,16,57.9,426,https://usb.userbenchmark.com/SpeedTest/64443/Kingston-HyperX-Savage
USB,HXS3/256GB,Kingston,HyperX Savage USB 3.1 256GB,17,57.5,256,https://usb.userbenchmark.com/SpeedTest/47907/Kingston-HyperX-Savage
USB,,Drobo,Mini 4.5TB,18,56.9,10,https://usb.userbenchmark.com/SpeedTest/2759/Drobo-Mini
USB,,Samsung,D3 Station 2TB,19,49,1361,https://usb.userbenchmark.com/SpeedTest/5414/Samsung-D3-Station
USB,,Seagate,Backup+ Desk 3TB,20,48.8,276,https://usb.userbenchmark.com/SpeedTest/3835/Seagate-Backup--Desk
USB,LJDP10-64GCRBNA,Lexar,JumpDrive P10 USB 3.0 64GB,21,48.6,60,https://usb.userbenchmark.com/Lexar-JumpDrive-P10-USB-30-64GB/Rating/1475
USB,LJDP10-64GCRBEU,Lexar,JumpDrive P10 USB 3.0 64GB,21,48.6,60,https://usb.userbenchmark.com/Lexar-JumpDrive-P10-USB-30-64GB/Rating/1475
USB,,BUFFALO,HD-LXU3 1TB,22,48.4,45,https://usb.userbenchmark.com/SpeedTest/5083/BUFFALO-HD-LXU3
USB,LJDP20-64GCRBNA,Lexar,JumpDrive P20 USB 3.0 64GB,23,48.2,352,https://usb.userbenchmark.com/Lexar-JumpDrive-P20-USB-30-64GB/Rating/3528
USB,LJDP20-64GCRBEU,Lexar,JumpDrive P20 USB 3.0 64GB,23,48.2,352,https://usb.userbenchmark.com/Lexar-JumpDrive-P20-USB-30-64GB/Rating/3528
USB,HXS3/64GB,Kingston,HyperX Savage USB 3.1 64GB,24,47.5,475,https://usb.userbenchmark.com/SpeedTest/41443/Kingston-HyperX-Savage
